text,label
"A total of 300 male C57/BL6 mice were initially screened and grouped into 88 groups of three for the Bion-M 1 space mission, with 53 groups flown in space and 35 groups used for ground control studies.",0
Aggressiveness among male mice was identified as a major risk factor in group housing under spaceflight conditions; 14% of groups required rearrangement during co-adaptation.,0
"Environmental enrichment (shelters, nesting materials, paper tubes) and daily handling significantly improved co-adaptation success, increasing stable group formation from 50% (without enrichment) to 87%.",1
"Behavioral training included habituation to handling and functional tests (e.g., vestibular ""air righting"" test), which enhanced mice cooperation and reduced stress responses during experimental procedures.",0
Post-flight assessments showed mice were in good condition for biomedical studies but exhibited pronounced disadaptation to Earth's gravity.,0
"The study concludes that the implemented training and selection program effectively prepared male mice for long-term space biomedical research, enabling successful group housing and experimental reliability.",0
"The study concludes that the implemented training and selection program effectively prepared male mice for long-term space biomedical research, enabling successful group housing and experimental reliability.",0
Exposure of 16-week-old female C57BL/6J mice to 15 days of microgravity resulted in a 6.29% decrease in pelvic bone volume fraction (BV/TV) and an 11.91% reduction in bone thickness as measured by µCT.,0
Exposure of 16-week-old female C57BL/6J mice to 15 days of microgravity resulted in a 6.29% decrease in pelvic bone volume fraction (BV/TV) and an 11.91% reduction in bone thickness as measured by µCT.,0
"Osteoclastic activity increased significantly in microgravity, with TRAP-positive osteoclast-covered trabecular bone surfaces rising by 170% (p = 0.004), indicating enhanced bone resorption.",1
"Osteoclastic activity increased significantly in microgravity, with TRAP-positive osteoclast-covered trabecular bone surfaces rising by 170% (p = 0.004), indicating enhanced bone resorption.",1
"High-resolution X-ray nanoCT revealed signs of osteocytic osteolysis, including increases in lacunar cross-sectional area (+17%, p = 0.022), perimeter (+14%, p = 0.008), and canalicular diameter (+6%, p = 0.037).",0
"High-resolution X-ray nanoCT revealed signs of osteocytic osteolysis, including increases in lacunar cross-sectional area (+17%, p = 0.022), perimeter (+14%, p = 0.008), and canalicular diameter (+6%, p = 0.037).",0
"High-resolution X-ray nanoCT revealed signs of osteocytic osteolysis, including increases in lacunar cross-sectional area (+17%, p = 0.022), perimeter (+14%, p = 0.008), and canalicular diameter (+6%, p = 0.037).",0
"High-resolution X-ray nanoCT revealed signs of osteocytic osteolysis, including increases in lacunar cross-sectional area (+17%, p = 0.022), perimeter (+14%, p = 0.008), and canalicular diameter (+6%, p = 0.037).",0
"Expression of matrix metalloproteinases MMP1, MMP3, and MMP10 was upregulated in bone tissue under microgravity conditions by 12.94-, 2.98-, and 16.85-fold respectively (p < 0.01), with MMP10 localized to osteocytes, supporting osteocytic osteolysis involvement.",1
"Expression of matrix metalloproteinases MMP1, MMP3, and MMP10 was upregulated in bone tissue under microgravity conditions by 12.94-, 2.98-, and 16.85-fold respectively (p < 0.01), with MMP10 localized to osteocytes, supporting osteocytic osteolysis involvement.",1
"Expression of matrix metalloproteinases MMP1, MMP3, and MMP10 was upregulated in bone tissue under microgravity conditions by 12.94-, 2.98-, and 16.85-fold respectively (p < 0.01), with MMP10 localized to osteocytes, supporting osteocytic osteolysis involvement.",1
"Expression of matrix metalloproteinases MMP1, MMP3, and MMP10 was upregulated in bone tissue under microgravity conditions by 12.94-, 2.98-, and 16.85-fold respectively (p < 0.01), with MMP10 localized to osteocytes, supporting osteocytic osteolysis involvement.",1
"CDKN1a/p21 expression increased 3.31-fold (p < 0.01) in osteoblasts, suggesting inhibition of the osteogenic cell cycle and potential apoptosis resistance; concurrently, the apoptosis inducer Trp53 was downregulated by 1.54-fold (p < 0.01).",1
"CDKN1a/p21 expression increased 3.31-fold (p < 0.01) in osteoblasts, suggesting inhibition of the osteogenic cell cycle and potential apoptosis resistance; concurrently, the apoptosis inducer Trp53 was downregulated by 1.54-fold (p < 0.01).",1
"CDKN1a/p21 expression increased 3.31-fold (p < 0.01) in osteoblasts, suggesting inhibition of the osteogenic cell cycle and potential apoptosis resistance; concurrently, the apoptosis inducer Trp53 was downregulated by 1.54-fold (p < 0.01).",1
"CDKN1a/p21 expression increased 3.31-fold (p < 0.01) in osteoblasts, suggesting inhibition of the osteogenic cell cycle and potential apoptosis resistance; concurrently, the apoptosis inducer Trp53 was downregulated by 1.54-fold (p < 0.01).",1
"The study identifies the pelvic and femoral regions as active sites of rapid bone loss in microgravity, implicating not only osteoclastic degradation but also osteocytic osteolysis and osteoblastic cell cycle arrest mediated by CDKN1a/p21.",0
"The study identifies the pelvic and femoral regions as active sites of rapid bone loss in microgravity, implicating not only osteoclastic degradation but also osteocytic osteolysis and osteoblastic cell cycle arrest mediated by CDKN1a/p21.",0
"The study identifies the pelvic and femoral regions as active sites of rapid bone loss in microgravity, implicating not only osteoclastic degradation but also osteocytic osteolysis and osteoblastic cell cycle arrest mediated by CDKN1a/p21.",0
"The study identifies the pelvic and femoral regions as active sites of rapid bone loss in microgravity, implicating not only osteoclastic degradation but also osteocytic osteolysis and osteoblastic cell cycle arrest mediated by CDKN1a/p21.",0
"Microgravity disrupts immune system functions by impairing T cell activation, cytokine production, and macrophage differentiation, increasing infection susceptibility.",0
"Microgravity disrupts immune system functions by impairing T cell activation, cytokine production, and macrophage differentiation, increasing infection susceptibility.",0
"Microgravity disrupts immune system functions by impairing T cell activation, cytokine production, and macrophage differentiation, increasing infection susceptibility.",0
"Microgravity disrupts immune system functions by impairing T cell activation, cytokine production, and macrophage differentiation, increasing infection susceptibility.",0
"Microgravity disrupts immune system functions by impairing T cell activation, cytokine production, and macrophage differentiation, increasing infection susceptibility.",0
"In cancer research, microgravity promotes spheroid formation in cancer stem cells and thyroid cancer cells, better replicating in vivo tumor behavior.",0
"In cancer research, microgravity promotes spheroid formation in cancer stem cells and thyroid cancer cells, better replicating in vivo tumor behavior.",0
"Microgravity enhances tissue regeneration by modulating Hippo and PI3K-Akt signaling pathways, improving stem cell differentiation into hematopoietic and cardiomyocyte lineages.",0
"Microgravity enhances tissue regeneration by modulating Hippo and PI3K-Akt signaling pathways, improving stem cell differentiation into hematopoietic and cardiomyocyte lineages.",0
"Microgravity enhances tissue regeneration by modulating Hippo and PI3K-Akt signaling pathways, improving stem cell differentiation into hematopoietic and cardiomyocyte lineages.",0
"At the organ level, microgravity alters hepatic metabolism, endothelial function, and bone mechanotransduction, leading to lipid dysregulation, vascular remodeling, and accelerated bone loss.",0
"At the organ level, microgravity alters hepatic metabolism, endothelial function, and bone mechanotransduction, leading to lipid dysregulation, vascular remodeling, and accelerated bone loss.",0
"Human pluripotent stem cell-derived cardiomyocytes cultured in microgravity show increased mitochondrial biogenesis, improved calcium handling, and advanced structural maturation, including longer sarcomeres and altered nuclear shape.",0
"Human pluripotent stem cell-derived cardiomyocytes cultured in microgravity show increased mitochondrial biogenesis, improved calcium handling, and advanced structural maturation, including longer sarcomeres and altered nuclear shape.",0
"These cellular and tissue-level changes under microgravity have implications for space medicine and offer potential therapeutic applications in regenerative medicine, oncology, and immunology.",0
"These cellular and tissue-level changes under microgravity have implications for space medicine and offer potential therapeutic applications in regenerative medicine, oncology, and immunology.",0
"Culturing human adipose-derived stem cells (hASCs) bound to polystyrene or collagen microspheres (100–300 μm) under microgravity conditions with wave stirring for one week increased the proportion of SSEA-3(+) cells by 4.4- and 4.3-fold, respectively, compared to normal culture.",0
"Culturing human adipose-derived stem cells (hASCs) bound to polystyrene or collagen microspheres (100–300 μm) under microgravity conditions with wave stirring for one week increased the proportion of SSEA-3(+) cells by 4.4- and 4.3-fold, respectively, compared to normal culture.",0
The absolute numbers of SSEA-3(+) hASCs increased by 2.7-fold with polystyrene and 2.9-fold with collagen microspheres under these conditions.,0
The absolute numbers of SSEA-3(+) hASCs increased by 2.7-fold with polystyrene and 2.9-fold with collagen microspheres under these conditions.,0
"Cultured hASCs exhibited elevated expression of pluripotency markers OCT4, SOX2, NANOG, MYC, and KLF relative to standard culture methods.",0
"These cells demonstrated enhanced functional properties including increased proliferation rates, colony formation ability, network formation, and capacity for differentiation into multiple mesenchymal lineages.",0
"These cells demonstrated enhanced functional properties including increased proliferation rates, colony formation ability, network formation, and capacity for differentiation into multiple mesenchymal lineages.",0
"These cells demonstrated enhanced functional properties including increased proliferation rates, colony formation ability, network formation, and capacity for differentiation into multiple mesenchymal lineages.",0
"These cells demonstrated enhanced functional properties including increased proliferation rates, colony formation ability, network formation, and capacity for differentiation into multiple mesenchymal lineages.",0
"The microgravity and microsphere-based stirred suspension culture method selectively expanded a highly functional subpopulation of hASCs, potentially improving their utility for regenerative therapies.",0
Quantitative PCR (qPCR) performed on a DNA calibration standard series in microgravity aboard the ISS produced cycle threshold (Ct) values and PCR efficiencies comparable to Earth-based (1 g) controls.,0
Reverse Transcriptase-quantitative PCR (RT-qPCR) was successfully conducted on RNA extracted and purified on-orbit from frozen Escherichia coli and mouse liver tissue samples.,0
"Multiplex gene expression analysis from bacterial and mammalian RNA samples was completed within approximately 3 hours on the ISS, with data transmitted to Earth within 2 hours after experiment completion.",0
"Thermal cycling in microgravity caused gas bubble formation inside septa cap assay tubes, leading to increased Ct curve noise and variability;",0
"Thermal cycling in microgravity caused gas bubble formation inside septa cap assay tubes, leading to increased Ct curve noise and variability;",0
this issue was mitigated by using standard caps to pressurize PCR tubes in a follow-up on-orbit experiment.,0
"The WetLab-2 system demonstrated feasibility for complex molecular biology workflows, including RNA purification and RT-qPCR, enabling real-time gene expression analysis in the ISS National Laboratory environment.",0
"The WetLab-2 system demonstrated feasibility for complex molecular biology workflows, including RNA purification and RT-qPCR, enabling real-time gene expression analysis in the ISS National Laboratory environment.",0
Spaceflight for 15 days altered the expression of 37 out of 168 tested genes in mouse cardiac ventricle tissue compared to ground controls.,0
"The transcription factor Nfe2l2 (Nrf2), involved in antioxidant response, was downregulated after spaceflight.",0
"The gene Nox1, associated with reactive oxygen species production, was upregulated, while Ptgs2, related to inflammation and oxidative stress, was downregulated.",0
"The gene Nox1, associated with reactive oxygen species production, was upregulated, while Ptgs2, related to inflammation and oxidative stress, was downregulated.",0
"Cell cycle and apoptosis-related genes Cdkn1a (p21) and Myc were substantially upregulated, whereas the inflammatory gene Tnf was downregulated.",0
"Cell cycle and apoptosis-related genes Cdkn1a (p21) and Myc were substantially upregulated, whereas the inflammatory gene Tnf was downregulated.",0
"Cell cycle and apoptosis-related genes Cdkn1a (p21) and Myc were substantially upregulated, whereas the inflammatory gene Tnf was downregulated.",0
No significant changes were observed in apoptosis-related genes such as Trp53.,1
"These gene expression changes suggest that spaceflight induces oxidative stress and modulates cell cycle and senescence pathways in cardiac tissue, potentially contributing to cardiac dysfunction.",0
"These gene expression changes suggest that spaceflight induces oxidative stress and modulates cell cycle and senescence pathways in cardiac tissue, potentially contributing to cardiac dysfunction.",0
"These gene expression changes suggest that spaceflight induces oxidative stress and modulates cell cycle and senescence pathways in cardiac tissue, potentially contributing to cardiac dysfunction.",0
"High-dose (200 cGy) exposure to either high-LET 56 Fe ions or low-LET protons caused significant loss of cancellous bone volume/total volume in mice, while lower doses (5, 10, 50 cGy) did not produce this effect.",1
